wiki_key,display_name,party,status,required,declared_on,checked_on,source,notes
le pen,Marine Le Pen,Rassemblement national,declared,TRUE,2026-07-07,2026-07-08,https://www.franceinfo.fr/politique/marine-le-pen/je-suis-candidate-a-l-election-presidentielle-marine-le-pen-annonce-son-pourvoi-en-cassation-apres-sa-condamnation-allegee-en-appel_8098361.html,Annonce au 20h de TF1 le soir de l'arret d'appel la laissant eligible ; pourvoi en cassation en cours
bardella,Jordan Bardella,Rassemblement national,withdrawn,FALSE,2026-07-07,2026-07-08,https://www.publicsenat.fr/actualites/politique/presidentielle-marine-le-pen-est-candidate-et-se-pourvoit-en-cassation,"Rallie a Le Pen (ticket, promis Matignon) ; designation formelle RN au congres d'Orleans le 24/10/2026"
melenchon,Jean-Luc Mélenchon,La France insoumise,declared,FALSE,2026-05-03,2026-07-08,https://lcp.fr/actualites/presidentielle-jean-luc-melenchon-officialise-sa-candidature-pour-2027-435851,"4e candidature, officialisee le 3 mai 2026"
faure,Olivier Faure,Parti socialiste,undecided,FALSE,2026-06-20,2026-07-08,https://www.boursorama.com/actualite-economique/actualites/presidentielle-au-ps-olivier-faure-maintient-le-mystere-sur-sa-candidature-2576c70dda1c3366797ee94d8015169b,"Se pose en 'architecte' du rassemblement, pas candidat a ce stade"
glucksmann,Raphaël Glucksmann,Place publique,likely,FALSE,2026-06-13,2026-07-08,https://www.franceinfo.fr/elections/presidentielle/il-n-a-pas-peur-pourquoi-raphael-glucksmann-repousse-a-la-fin-de-l-ete-une-eventuelle-candidature-a-la-presidentielle-de-2027_8031494.html,Se donne jusqu'a l'automne 2026 pour decider
tondelier,Marine Tondelier,Les Ecologistes,likely,FALSE,2025-10-22,2026-07-08,https://www.franceinfo.fr/elections/presidentielle/la-patronne-des-ecologistes-marine-tondelier-se-declare-candidate-a-l-election-presidentielle-de-2027_7568824.html,Candidature subordonnee a la primaire de la gauche du 11 octobre 2026 (pas ferme au 1er tour)
roussel,Fabien Roussel,Parti communiste francais,likely,FALSE,2026-07-05,2026-07-08,https://france3-regions.franceinfo.fr/hauts-de-france/nord-0/lille/fabien-roussel-reelu-sans-surprise-a-la-tete-du-pcf-par-70-des-voix-bientot-candidat-a-la-presidentielle-3381652.html,Reelu a la tete du PCF ; le parti tranche en juillet 2026
ruffin,François Ruffin,Debout !,likely,FALSE,2026-01-26,2026-07-08,https://www.franceinfo.fr/politique/primaire-de-la-gauche-le-depute-francois-ruffin-confirme-qu-il-sera-bien-candidat_7766543.html,Candidature subordonnee a la primaire de la gauche du 11 octobre 2026 (pas ferme au 1er tour)
attal,Gabriel Attal,Renaissance,declared,FALSE,2026-05-22,2026-07-08,https://www.franceinfo.fr/elections/presidentielle/j-aime-passionnement-la-france-et-j-aime-profondement-les-francais-gabriel-attal-se-declare-candidat-a-l-election-presidentielle-de-2027_8020769.html,Candidature annoncee le 22 mai 2026
darmanin,Gérald Darmanin,Renaissance,undecided,FALSE,2026-05-26,2026-07-08,https://www.franceinfo.fr/elections/presidentielle/presidentielle-2027-inch-allah-on-verra-bien-glisse-gerald-darmanin-sur-ses-ambitions-presidentielles_8001371.html,"""Inch'Allah, on verra bien"" (mai 2026)"
