candidate,status,n_polls,last_seen
Marine Le Pen,declared,102,2026-08-25
Édouard Philippe,declared,94,2026-08-25
Jean-Luc Mélenchon,declared,77,2026-08-25
Nicolas Dupont-Aignan,declared,51,2026-08-25
Gabriel Attal,declared,48,2026-08-25
Nathalie Arthaud,declared,48,2026-08-25
Bruno Retailleau,declared,44,2026-08-25
Xavier Bertrand,declared,2,2024-09-12
Fabien Roussel,likely,62,2026-08-25
Éric Zemmour,likely,53,2026-08-25
Marine Tondelier,likely,50,2026-08-25
Raphaël Glucksmann,likely,40,2026-08-25
Dominique de Villepin,likely,9,2026-07-10
François Ruffin,likely,7,2026-07-10
Olivier Faure,undecided,26,2025-05-20
Francois Hollande,undecided,10,2026-08-19
Bernard Cazeneuve,undecided,8,2023-09-04
Sarah Knafo,undecided,8,2026-05-28
Bruno Le Maire,undecided,5,2024-04-18
Gérald Darmanin,undecided,5,2024-04-18
Elisabeth Borne,undecided,1,2023-09-04
Jean Lassalle(RES),unknown,16,2024-12-09
Yannick Jadot (LE),unknown,5,2023-09-04
François Bayrou (MD),unknown,2,2023-09-04
Sandrine Rousseau (LE),unknown,2,2024-09-12
Carole Delga (PS),unknown,1,2023-04-07
Jean Castex (IND),unknown,1,2023-09-04
Michel Barnier (LR),unknown,1,2024-09-12
Yaël Braun-Pivet (RE),unknown,1,2023-09-04
