source,candidate,prob_pct,volume_usd,date,n_sources
polymarket,Marine Le Pen,31.55,1926030.74,2026-08-24,
polymarket,Jordan Bardella,2.5,1878107.79,2026-08-24,
polymarket,Éric Zemmour,0.75,2018319.83,2026-08-24,
polymarket,Édouard Philippe,24.5,1286594.28,2026-08-24,
polymarket,David Lisnard,2.85,1634492.6,2026-08-24,
polymarket,Xavier Bertrand,0.15,5184827.87,2026-08-24,
polymarket,Laurent Wauquiez,0.15,3504614.96,2026-08-24,
polymarket,François Ruffin,0.15,3103827.44,2026-08-24,
polymarket,Gabriel Attal,4.4,2021275.7,2026-08-24,
polymarket,Bruno Retailleau,2.0,1993726.11,2026-08-24,
polymarket,François Hollande,3.15,1501324.31,2026-08-24,
polymarket,Raphaël Glucksmann,2.45,1480232.1,2026-08-24,
polymarket,Jean-Luc Mélenchon,13.5,1212467.2,2026-08-24,
polymarket,Marine Tondelier,0.15,3534659.87,2026-08-24,
polymarket,Fabien Roussel,0.15,4010772.08,2026-08-24,
polymarket,Olivier Faure,0.15,5132649.62,2026-08-24,
polymarket,Dominique de Villepin,1.75,1629965.67,2026-08-24,
polymarket,Ségolène Royal,0.15,5702510.41,2026-08-24,
polymarket,François Asselineau,0.15,5593913.8,2026-08-24,
polymarket,Clémentine Autain,0.15,4808103.2,2026-08-24,
polymarket,Nicolas Dupont-Aignan,0.15,4578447.07,2026-08-24,
polymarket,Michel Barnier,0.25,5109415.9,2026-08-24,
polymarket,Valérie Pécresse,0.15,3945959.41,2026-08-24,
polymarket,François Bayrou,0.15,5789983.87,2026-08-24,
polymarket,Élisabeth Borne,0.15,5310017.85,2026-08-24,
polymarket,Yaël Braun-Pivet,0.15,5571830.19,2026-08-24,
polymarket,Jean Castex,0.25,1370480.86,2026-08-24,
polymarket,Gérald Darmanin,0.15,1924402.64,2026-08-24,
polymarket,Carole Delga,0.15,4598723.86,2026-08-24,
polymarket,Bernard Cazeneuve,0.35,2107145.34,2026-08-24,
polymarket,Manuel Bompard,0.15,4677022.2,2026-08-24,
polymarket,Mathilde Panot,0.15,6300512.29,2026-08-24,
polymarket,Sarah Knafo,1.75,1790892.14,2026-08-24,
polymarket,Juan Branco,0.2,2085444.71,2026-08-24,
polymarket,Clémence Guetté,0.15,3999243.93,2026-08-24,
polymarket,Sébastien Lecornu,1.55,1466832.6,2026-08-24,
polymarket,Karim Bouamrane,0.15,182486.84,2026-08-24,
polymarket,Lucie Castets,0.15,137089.5,2026-08-24,
polymarket,Yannick Jadot,0.15,470343.8,2026-08-24,
polymarket,François Baroin,0.15,440502.69,2026-08-24,
polymarket,Marion Maréchal,0.15,193846.43,2026-08-24,
kalshi,Gabriel Attal,1.0,1.0,2026-08-24,
kalshi,Éric Zemmour,1.9,1.0,2026-08-24,
kalshi,Michel Barnier,1.0,1.0,2026-08-24,
kalshi,Sarah Knafo,3.0,1.0,2026-08-24,
kalshi,François Bayrou,5.0,1.0,2026-08-24,
kalshi,Dominique de Villepin,4.6,1.0,2026-08-24,
kalshi,Édouard Philippe,21.0,1.0,2026-08-24,
kalshi,Manuel Bompard,0.9,1.0,2026-08-24,
kalshi,Élisabeth Borne,1.0,1.0,2026-08-24,
kalshi,Gérald Darmanin,6.0,1.0,2026-08-24,
kalshi,Laurent Wauquiez,1.0,1.0,2026-08-24,
kalshi,Mathilde Panot,1.0,1.0,2026-08-24,
kalshi,Bruno Le Maire,1.0,1.0,2026-08-24,
kalshi,Jean-Luc Mélenchon,12.0,1.0,2026-08-24,
kalshi,Olivier Faure,1.0,1.0,2026-08-24,
kalshi,Xavier Bertrand,1.0,1.0,2026-08-24,
kalshi,Sébastien Lecornu,2.4,1.0,2026-08-24,
kalshi,David Lisnard,0.1,1.0,2026-08-24,
kalshi,Bruno Retailleau,3.1,1.0,2026-08-24,
kalshi,Jordan Bardella,4.0,1.0,2026-08-24,
kalshi,Carole Delga,1.0,1.0,2026-08-24,
kalshi,Jean Castex,0.1,1.0,2026-08-24,
kalshi,Bernard Cazeneuve,6.0,1.0,2026-08-24,
kalshi,Yaël Braun-Pivet,1.0,1.0,2026-08-24,
kalshi,Valérie Pécresse,1.0,1.0,2026-08-24,
kalshi,François Ruffin,2.0,1.0,2026-08-24,
kalshi,François Hollande,5.0,1.0,2026-08-24,
kalshi,Marine Le Pen,35.0,1.0,2026-08-24,
manifold,Alain Coulombel,0.17,41420.42,2026-08-24,
manifold,Bernard Cazeneuve,0.82,79284.96,2026-08-24,
manifold,Bruno Le Maire,0.2,79284.96,2026-08-24,
manifold,Bruno Retailleau,1.7,37864.54,2026-08-24,
manifold,Carole Delga,0.21,41420.42,2026-08-24,
manifold,Cécile Duflot,0.17,41420.42,2026-08-24,
manifold,Christiane Taubira,0.18,41420.42,2026-08-24,
manifold,Christine Lagarde,1.28,79284.96,2026-08-24,
manifold,David Lisnard,1.66,41420.42,2026-08-24,
manifold,Dominique de Villepin,3.84,79284.96,2026-08-24,
manifold,Édouard Philippe,23.95,79284.96,2026-08-24,
manifold,Élisabeth Borne,0.43,37864.54,2026-08-24,
manifold,Emmanuel Macron,0.1,79284.96,2026-08-24,
manifold,Eric Zemmour,0.46,79284.96,2026-08-24,
manifold,Eva Joly,0.18,41420.42,2026-08-24,
manifold,François Bayrou,0.35,37864.54,2026-08-24,
manifold,François Fillon,0.01,37864.54,2026-08-24,
manifold,François Hollande,1.98,79284.96,2026-08-24,
manifold,Francois Ruffin,1.13,79284.96,2026-08-24,
manifold,François-Xavier Bellamy,0.18,41420.42,2026-08-24,
manifold,Gabriel Attal,5.33,79284.96,2026-08-24,
manifold,Gérald Darmanin,1.03,79284.96,2026-08-24,
manifold,Gérard Larcher,0.46,79284.96,2026-08-24,
manifold,Jean-Luc Mélenchon,11.09,79284.96,2026-08-24,
manifold,Jordan Bardella,5.14,79284.96,2026-08-24,
manifold,Juan Branco,0.53,37864.54,2026-08-24,
manifold,Laurent Wauquiez,0.23,79284.96,2026-08-24,
manifold,Manon Aubry,0.33,41420.42,2026-08-24,
manifold,Marie Toussaint,0.2,41420.42,2026-08-24,
manifold,Marine Le Pen,25.68,79284.96,2026-08-24,
manifold,Marine Tondelier,0.64,79284.96,2026-08-24,
manifold,Marion Maréchal,0.43,41420.42,2026-08-24,
manifold,Michel Barnier,1.29,41420.42,2026-08-24,
manifold,Nathalie Arthaud,0.09,79284.96,2026-08-24,
manifold,Nicolas Sarkozy,0.27,41420.42,2026-08-24,
manifold,Olivier Faure,1.28,79284.96,2026-08-24,
manifold,Philippe Poutou,0.19,41420.42,2026-08-24,
manifold,Rachida Dati,0.12,37864.54,2026-08-24,
manifold,Raphaël Glucksmann,1.72,79284.96,2026-08-24,
manifold,Sarah Knafo,1.02,37864.54,2026-08-24,
manifold,Sébastien Lecornu,5.03,37864.54,2026-08-24,
manifold,Ségolène Royal,0.3,41420.42,2026-08-24,
manifold,Someone not on this list,0.06,37864.54,2026-08-24,
manifold,Xavier Bertrand,0.14,41420.42,2026-08-24,
consensus,Marine Le Pen,31.76,2005316.7,2026-08-24,3.0
consensus,Édouard Philippe,22.99,1365880.24,2026-08-24,3.0
consensus,Jean-Luc Mélenchon,12.42,1291753.16,2026-08-24,3.0
consensus,François Hollande,3.66,1580610.27,2026-08-24,3.0
consensus,Jordan Bardella,3.63,1957393.75,2026-08-24,3.0
consensus,Dominique de Villepin,3.31,1709251.63,2026-08-24,3.0
consensus,Gabriel Attal,3.23,2100561.66,2026-08-24,3.0
consensus,Bernard Cazeneuve,2.7,2186431.3,2026-08-24,3.0
consensus,Gérald Darmanin,2.67,2003688.6,2026-08-24,3.0
consensus,Sébastien Lecornu,2.59,1504698.14,2026-08-24,3.0
consensus,Bruno Retailleau,2.38,2031591.65,2026-08-24,3.0
consensus,Raphaël Glucksmann,2.21,1559517.06,2026-08-24,2.0
consensus,François Bayrou,2.13,5827849.41,2026-08-24,3.0
consensus,Sarah Knafo,2.1,1828757.68,2026-08-24,3.0
consensus,David Lisnard,1.51,1675914.02,2026-08-24,3.0
consensus,Christine Lagarde,1.28,79284.96,2026-08-24,1.0
consensus,Éric Zemmour,1.15,2097605.79,2026-08-24,3.0
consensus,François Ruffin,1.09,3183113.4,2026-08-24,3.0
consensus,Michel Barnier,0.76,5150837.32,2026-08-24,3.0
consensus,Bruno Le Maire,0.73,79285.96,2026-08-24,2.0
consensus,Olivier Faure,0.72,5211935.58,2026-08-24,3.0
consensus,Mathilde Panot,0.57,6300513.29,2026-08-24,2.0
consensus,Valérie Pécresse,0.57,3945960.41,2026-08-24,2.0
consensus,Yaël Braun-Pivet,0.57,5571831.19,2026-08-24,2.0
consensus,Élisabeth Borne,0.55,5347883.39,2026-08-24,3.0
consensus,Manuel Bompard,0.52,4677023.2,2026-08-24,2.0
consensus,Laurent Wauquiez,0.51,3583900.92,2026-08-24,3.0
consensus,Carole Delga,0.5,4640145.28,2026-08-24,3.0
consensus,Xavier Bertrand,0.49,5226249.29,2026-08-24,3.0
consensus,Gérard Larcher,0.46,79284.96,2026-08-24,1.0
consensus,Manon Aubry,0.33,41420.42,2026-08-24,1.0
consensus,Marine Tondelier,0.31,3613944.83,2026-08-24,2.0
consensus,Juan Branco,0.31,2123309.25,2026-08-24,2.0
consensus,Nicolas Sarkozy,0.27,41420.42,2026-08-24,1.0
consensus,Marion Maréchal,0.24,235266.85,2026-08-24,2.0
consensus,Ségolène Royal,0.2,5743930.83,2026-08-24,2.0
consensus,Marie Toussaint,0.2,41420.42,2026-08-24,1.0
consensus,Philippe Poutou,0.19,41420.42,2026-08-24,1.0
consensus,Jean Castex,0.18,1370481.86,2026-08-24,2.0
consensus,Eva Joly,0.18,41420.42,2026-08-24,1.0
consensus,François-Xavier Bellamy,0.18,41420.42,2026-08-24,1.0
consensus,Christiane Taubira,0.18,41420.42,2026-08-24,1.0
consensus,Alain Coulombel,0.17,41420.42,2026-08-24,1.0
